"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"340",10390,"Nigeria's Climate Change Act","Nigeria","NGA","Act","Economy-wide;Finance;Public Sector","18/11/2021|Approved||","Link to document on external website|https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/112597/140749/F962932059/NGA112597.pdf|en","The Climate Change bill was signed into law by the President Buhari in November 2021 in order to provide Nigeria with a legal framework for the country to achieve its climate goals, achieve long-term social and economic sustainability, and resilience. Following the President's commitment made at the COP 26 in Glasgow of achieving net zero by 2060, the Act enacts an overarching objective of achieving net zero emissions between 2050 and 2070.&nbsp;<br><br>Notable clauses of the Act are as follows:<br>- It mandates the government to set a National Climate Change Action Plan and a five-year carbon budget (with quantified annual objectives) accordingly. Both of these are to be validated by the Federal Executive Council. The first carbon budget should be approved by November 2022.<br><br>- It creates the National Council on Climate Change and defines its members and attributions. The Council is in charge of implementing the National Climate Change Action Plan. The institution will be responsible for managing the newly-instituted Climate Change Fund. The Fund will be provisioned according to debates in Parliament, and enable the running of the Council itself as well as subventions. The Council will work with the environment ministry to organise climate action globally and for each economic sector. It will also work on identifying and implementing priority adaptation actions.<br><br>- It compels any private entity with 50 or more employees to put in place measures to achieve the annual carbon emission reduction targets in line with the National Climate Change Action Plans and requires the private entity to designate a Climate Change Officer for reporting. Private entities that fail to meet targets may be subject to fines.&nbsp;"
"343",8861,"Royal Decree No. 90 of 2007 Establishing the Ministry of Environment and Climate Affairs","Oman","OMN","Royal Decree","Economy-wide","09/09/2007|Law passed","Full text (PDF) (Arabic)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2tGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--114e3411cca18c3060227b9883a76ecb59389926/f|","Royal Decree No. 90 of 2007 establishes the Ministry of Environment and Climate Affairs out of the Ministry of Regional Municipalities, Environment and Water Resources."
"344",1531,"Alternative Energy Development Board Act","Pakistan","PAK","Law","Buildings;Energy","25/12/2010|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDRKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c9a76c20b22f0da55121572c2370d09b076a13f/F|","The Act creates an Alternative and Renewable Energy Development Board. The text largely sets out the formal standing of the board, outlying its financial status and how to appoint members of the board etc.<br />
<br />
Specifically the functions of the board are to:<br />
- Develop national strategy, policies and plans for utilisation of alternative and renewable energy resources to achieve the targets<br />
- Act as a forum for evaluating, monitoring and certification of alternative or renewable energy projects and products. This includes a) acting as a co-ordination agency for commercial application of alternative or renewable technology; and b) facilitating energy generation through alternative or renewable energy resources, including: inter alia the promotion or development of renewable energy projects; and interacting with other agencies domestically and internationally for alternative energy production<br />
<br />
The Act also allows the board to establish an institute of renewable energy technologies."
"345",1532,"The Pakistan Council of Renewable Technologies Act","Pakistan","PAK","Law","Energy;Industry","25/12/2010|Law passed","Legislative bill|http://www.na.gov.pk/uploads/documents/1470842923_115.pdf|","This Act legislates for institutional development by mandating the establishment of the Pakistan Council of Renewable Energy Technologies. The council will be responsible for promoting the development, acquisition, propagation and dissemination of renewable energy technologies. Specifically named technologies are: solar/photovoltaic; thermal, hydrogen, biogas/biomass, mini and micro hydro power; and wind technologies.

The council will also be responsible for the liaison with national and international organi-sations to promote technical co-operation in addition to assisting the government in the industrial production of renewable energy technologies."
"346",2069,"National Energy Efficiency and Conservation Act 2016","Pakistan","PAK","Law","Buildings;Economy-wide;Energy;Transport","01/07/2016|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdkFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f2b78ce91c6ae5a39a87f65084b10145754d32ad/f|","The <a href=""http://www.na.gov.pk/uploads/documents/1472205962_638.pdf"">2016 Act</a> replaces the <a href=""http://www.climatepolicydatabase.org/index.php?title=The_Pakistan_Energy_efficiency_and_Conservation_Act_Pakistan_2011"">Pakistan Energy Efficiency and Conservation Act</a> (2011) and keeps driving institutional development to improve energy efficiency, specifically mandating the creation of: the National Energy Efficiency and Conservation Authority (NEECA, transformed from former National Energy Conservation Centre - ENERCON); the Authority Fund; and the National Energy Efficiency and Conservation Board.<br />
NEECA's functions include among others (Article 7):<br />
<ul><br />
<li>serve as sole focal Federal authority for initiating, catalyzing, carrying out and coordinating the implementation of all energy conservation programs in all sectors of economy;</li><br />
<li>administer, implement and enforce the provisions of the Act and the rules and regulations made thereunder;</li><br />
<li>prepare or update national energy conservation policy for the approval of the Board;</li><br />
<li>carry out energy audits;</li><br />
<li>initiate demonstration and research programmes (...).</li><br />
</ul><br />
The National Energy Efficiency and Conservation Board is an inter ministerial body, including among its members for example Federal Secretaries of Ministry of Finance, Ministry of Planning and Development, Ministry of Housing and others. The Board is responsible for the supervision, management of the affairs, and policy direction of the NEECA. Its main functions include promotion of energy conservation and efficient development of energy efficient technologies, certification of energy efficient products and projects.<br />
The Act further defines ""Powers and functions of the Federal Government to facilitate and enforce efficient use of energy and its conservation"" (Article 10-13), including powers to prescribe energy conservation building codes, issue energy saving certificates, prescribe the value of energy and establish an Energy Conservation Fund for the purposes of promotion of efficient use of energy and its conservation within its territory."
"347",8229,"Pakistan Climate Change Act, 2017","Pakistan","PAK","Law","Agriculture;Economy-wide;Environment;Water","17/03/2017|Approved by Senate||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70bcc226428329d004d294637ea4b7d8c0ec8a1c/f|","The Pakistan Climate Change Act establishes the Pakistan Climate Change Council, headed by the Prime Minister, and consists of:&nbsp;</div><ul><li><ul><li>The Ministers in charge of climate change, finance, agriculture, food security and research, planning, development and reform, petroleum and natural resources, science and technology, water and power and foreign affairs</li><li>Chief Ministers of the Provinces</li><li>Ministers-in-charge of the department allocated with subject of environment in the Provinces</li><li>Other persons not exceeding thirty as the Prime Minister may appoint, of which at least twenty shall be non-officials, including representatives of the Chambers of Commerce and Industry, non-governmental organizations concerned with climate change, the environment and development and scientists, researchers, technical experts and educationists</li><li>Chairman of the National Disaster Management Authority</li><li>Chairman, Pakistan Climate Change Authority; and</li><li>Secretary of the Division allocated with the subject of climate change, who shall also be the Secretary of the Council.</li></ul></li></ul><div>The Council shall: (a) coordinate and supervise enforcement of the provisions of this Act; (b) monitor implementation of international agreements relating to climate change specified in the Schedule; (c) coordinate, supervise and guide mainstreaming of climate change concerns into decision-making by Federal and Provincial Government's ministries, divisions, departments and agencies so as to create enabling conditions for integrated climate-compatible and climate-resilient development processes in various sectors of the economy; (d) approve and monitor implementation of comprehensive adaptation and mitigation policies, strategies, plans programmes, projects and other measures formulated by the Authority to meet Pakistan's obligations under international conventions and agreements relating to climate change including in particular the Sustainable Development Goals; (e) monitor implementation of the National Adaptation Plan and its constituent provincial and local adaptation action plans, the National Appropriate Mitigation Action Framework and National Communication submitted to the concerned Secretariat of the United Nations Framework Convention on Climate Change; approve guidelines for the protection and conservation of renewable and non-renewable resources, species, habitats, and biodiversity in general adversely affected or threatened by climate change; and (s) consider the National Climate Change Report and give appropriate directions thereon: The Act also establishes the Pakistan Climate Change Authority."
"350",4491,"Public Utilities - Title 37","Palau","PLW","Law","Energy","01/10/1991|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcE1IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bb71d3550abe5189dd946d2af8ee56d9230e6fd3/f|","This document focuses on strenghtening the generation and transmission of electrical power in the country. Art. 408.n) states that the Palau Public Utilities Corporation shall investigate, research, and implement where feasible and practicable the application of appropriate renewable energy resources including solar power, tidal power and wind generated power."
"351",4973,"Energy Act (RPPL No. 9-56)","Palau","PLW","Law","Energy","05/02/2016|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dc575c00ce1138ee8ad07bcc3ad697d139ae2fd8/f|","This Act aims to promote energy security and affordability of the supply while fostering renewable energies. It provides a statutory mandate for the Energy Administration.

The document notably charges the Energy Administration to report information related to climate impacts in the energy sector. The Energy Administration shall also set standards for different categories of renewable energy providers, and provide the information necessary for independent producers to participate in a solicited or unsolicited process whereby a proposal is made for the development of a renewable energy project."
"352",4974,"Net Metering Act of 2009","Palau","PLW","Law","Energy;Transport","15/12/2011|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7b4f338eba9dda8df3606fa1a78ab9e39ade3d1a/f|","<div class=""page"" title=""Page 1"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">

This Act requires electric service providers to make a net metering program available to customers by which customers may establish a renewable energy-powered customer generation system to produce electricity for their own use and to supply excess electricity to the electric service provider. The Act requires the electric service provider to offset charges for electricity by the amount of electricity supplied by the customer from the customer generation system and requires the electric service provider to give the customer credit for electricity generated by the customer that exceeds the amount supplied by the electric service provider. It requires the customer to meet certain safety requirements with respect to the customer generating system. It prohibits the electric service provider from imposing additional charges or fees to customers participating in a net metering program.

Through net metering, Palau hopes to 1) encourage investment in renewable energy resources, 2) stimulate economic growth, 3) reduce demand for electricity when alternative energy is available, 4) enhance the continued diversification of the energy resources used in Palau, 5) reduce fossil fuel imports for electricity generation and increase energy independence, and 6) reduce carbon emissions.

</div>
</div>
</div>
</div>"
"353",8559,"Law no 7/1999 on the environment","Palestine","PSE","Law","Social development","06/07/1999|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcEFHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ab34b278badcfe7e4947d88f64205a8460d09efc/f|","The objectives of the Law no. 7/1999 on the environment are to protect the environment from pollution in all its forms, to integrate the foundations of environmental protection in economic and social development plans, and to promote sustainable development of vital resources. This law deals with climate change through its objective and general principles, the special conditions of aerobic environment and environmental impact assessment, and reference to relevant international treaties."
"358",4141,"Environment Act","Panama","PAN","Law","Energy;LULUCF;Transport","01/06/1998|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2NIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b4ac919716e70a8d4b591b41befb3574004608d9/f|","This Law establishes the basic principles and norms for the protection, conservation and recovery of the environment, promoting the sustainable use of natural resources. In addition, it organizes environmental management and integrates it with social and economic objectives, in order to achieve sustainable human development in the country.

The law notably determines the legal framework around renewable energy resources and reforestation efforts. Article 79 states that Panama recognizes, as an environmental service of the forest, the capture of carbon, and will establish mechanisms to capture financial and economic resources, through jointly agreed programs, internationally agreed upon."
"359",4975,"Law no. 37 - Regime of incentives for the promotion of the construction, solar operation and maintenance of power stations and/or facilities","Panama","PAN","Law","Energy","10/06/2013|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--68fc8dd0b9292d05c3575d644969edba209dba93/f|","This law establishes a regime of incentives for the promotion of the construction, solar operation and maintenance of power stations and/or facilities. It aims at diversifying the national energy matrix, enable the population to consume solar-sourced electricity, establish a legal framework to develop solar energy, mitigate climate change, and reduce fossil fuels importations.

The law defines in chapter II a licence regime and related rules for the construction and exploitation of solar plants. It also sets purchasing rules."
"360",4976,"Law no. 69 - on the rational and efficient use of energy","Panama","PAN","Law","Energy","12/10/2012|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2b7e5ee1eba3f94269a046c2c8e1761cefff0d21/f|","This law establishes general guidelines for a national policy of energy efficiency. It aims at improving competitiveness, easing the adoption of energy efficiency measures, promoting financing means, and fostering new techniques and technologies.

A national policy (art. 5) and a strategic plan (chapter III) on the rational and efficient use of energy will be issued by the National Secretariat for Energy. The Secretariat will also push for the implementation of the energy efficiency programme."
"361",4977,"Law no. 44 - Regime of incentives for wind power stations","Panama","PAN","Law","Energy","25/04/2011|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFFHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--29a6e9641c861d500d2549aca664baf74282c775/f|","This law establishes a regime of incentives for the promotion of the construction and operation of wind power plants destined to feed the public electricity grid. It aims at diversifying the national energy matrix, promoting the use of renewable energy sources, and define a legal framework to accompany the development of wind power activities.

Art. 3 charges the National Secretariat for Energy to foster the use of alternative energy sources to reduce adverse environmental impacts and improve security of supply.

Chapter II defines the regime of licences that shall be applied for wind power plants in the country."
"362",4978,"Law no. 45 - Law to promote renewable energy","Panama","PAN","Law","Energy","01/08/2004|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c17b2771923829ed6c6ec0c823d43a439de65376/f|","This law establishes a regime of incentives to foster the production of energy from hydro, geothermal and other renewable sources. It further seeks to create jobs, promote investment in rural areas, optimise the use of natural resources, protect the environment, improve the electricity matrix and security of supply.

The law defines a regime of concessions and licences in chapter II."
"363",4979,"Law No. 42 - Guidelines for the national policy on biofuels and electric energy from biomass","Panama","PAN","Law","Agriculture;Energy;Health","20/04/2011|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdE1HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--78674b74894a55abb3f83eee6ad0b989b9c46df9/f|","This law establishes guidelines for the national policy on biofuels, electric energy from biomass and cogeneration. It seeks to improve health, boost agricultural output and productive jobs, improve the security of supply and ease local and foreign investment.

Chapter II charges the National Secretariat for Energy to define a national policy for the production, trade and use of biofuels and biomass (art. 3). The Secretariat will further be in charge of impulse and implement strategic plans on the issue (art. 6)."
"364",4980,"Law No 8 creating the Ministry for the Environment","Panama","PAN","Law","Water","25/03/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ce33a8688d1c335658887699b5c1c63314c1fcbb/f|","This law notably creates the Ministry for the Environment and modifies dispositions of the Panama Authority for water resources. The Ministry is in charge of the protection, conservation, preservation and restoration of the environment, and of the sustainable use of natural resources.

The law amends law 41 of 1998 to include climate change adaptation and mitigation to the missions of the Ministry."
"365",8685,"Law 69/2017 creating an incentive programme for forest cover and the conservation of natural forests","Panama","PAN","Law","LULUCF","30/10/2017|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdkFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4ee8702fdb83b8b08e9e70fd78048168434f332c/f|;Full text - online version|https://www.gacetaoficial.gob.pa/pdfTemp/28397_C/64285.pdf|","This law aims at protecting the country's primary and other natural forests. The document establishes nine specific objectives, including to replenish one million hectares of degraded land, and improving the quality of life of people and sectors related to forests. The law includes newor updated tax incentives."
"367",8727,"United Nations Paris Agreement (Implementation) Act 2016","Papua New Guinea","PNG","Act","Transport","25/12/2016|Law passed||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--41a0857f71068969ab189d5e1537ec17698500d0/f|","This Act addresses climate change issues in Papua New Guinea and implements the country's obligations under the Paris Agreement. The document is declared a matter of national interest. It establishes the authority responsible for 1) determining the benefits and levies of the Organic Law in respect of GHG emissions and carbon capture and storage, 2) determining the rates, management, sharing arrangements and application of related benefits and levies, and 3) establishing and administering trust funds of Section 98(3) of the Organic Law.<br><br>&nbsp;The Act further 1) establishes the principles for sharing revenues generated from economic regulatory regimes for emitting and sequestering carbon, 2) establishes the consultation process on the consequences of GHG emissions on local development, and 3) defines the legal framework necessary to adopt regulations in the field of GHG emissions, and its organisational and financial implications."
"369",4605,"Law no. 1561/00 (creating the National Environmental Council)","Paraguay","PRY","Law","Economy-wide","30/12/1999|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb3dIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--16afb275e5faaea6581a5eaf9437c17e4b54ae0a/f|","This law creates and regulates the functioning of the agencies responsible for the development, standardisation, coordination, execution and oversight of national environmental policy and management. It notably creates the National System of the Environment (SISNAM), integrated by the set of organs and public entities of the national, departmental and municipal governments, with environmental competence; and private entities created with the same purpose. The system also aims at avoiding institutional conflicts, gaps or competition overlaps. The System's supervisory attributions include climate-related matters."
"370",4728,"Law 2748/05 on the promotion of biofuels","Paraguay","PRY","Law","Industry","07/10/2005|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb01IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81f8f73ecc2ad47615edfc484072a71bd4378ede/f|","This law aims at favouring the uptake of biofuels production and consumption in the country. It focuses on biodiesel, absolute and hydrated bioetanol. The industrial production of biofuels is declared of national interest in art. 4.

The law allow for people and entities engaging into biofuel production to benefit from tax incentives defined in laws 60/90 y 2421/04. The document further sets regulatory rules around the scheme."
"371",4729,"Framework law on natural gas no. 3254/07 (mitigation of environmental impact)","Paraguay","PRY","Law","Energy","07/09/2007|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0lIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9a6a21587ffbd941748b93d421b9acf4e678135c/f|","This law aims at promoting jobs and energy alternatives, protecting consumer interests, protecting the environment, and promote energy conservation through the promotion of natural gas. It also seeks to identify solutions adequate to each region in Paraguay. A favourable fiscal regime for natural gas is instituted."
"372",4749,"Law 536/95 to promote afforestation and reforestation","Paraguay","PRY","Law","LULUCF","16/01/1995|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--416f7c70a06173dd910104f7ef4dacc99e7fbf0a/f|","This law states that the State shall provide the afforestation and reforestation action in forest priority areas, based on a Forest Management Plan and with the incentives established in this document. The priority areas are exempt from other legal obligations, such as the Agrarian Reform.

The document details the specific rules associated to priority areas. To incentivise growing forestry, the State will apply a one-time cost rebate by 75% for each afforested or reforested area. These concerns the direct costs of implantation and management costs (art. 7)."
"374",10231,"Law 6676/2020 prohibiting the activities of transformation and conversion of areas with forest cover in the Eastern Region","Paraguay","PRY","Act","LULUCF","11/12/2020|Approved||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGdPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cb2e7cecabc2a5398c20e4c134df8c64c82ec168/archivos_9496_LEY%206676.pdf|es","This law aims to regulate the protection, recovery and improvement of the native forest in the Eastern Region so that the forest fulfils its environmental, social and economic functions, contributing to the improvement of the quality of life of the inhabitants of the country.&nbsp;"
"375",10232,"Law N ° 3001/06 strengthening the adaptation capacity of ecosystems and the protection of their biodiversity","Paraguay","PRY","Act","Adaptation;Environment","19/09/2006|Approved||","Link to full text on official website|https://www.bacn.gov.py/leyes-paraguayas/2085/ley-n-3001-valoracion-y-retribucion-de-los-servicios-ambientales|es","This law promotes the conservation, protection, recovery and sustainable development of the country's biological diversity and natural resources, through the fair, timely and adequate valuation and remuneration of environmental services. Article 2 lists carbon absorption as one of the environmental services in scope."
"376",1535,"Mechanisms of Compensation for Services to Ecosystems, Law No. 30215","Peru","PER","Law","LULUCF;Transport","29/06/2014|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaG9KIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--af234892318fab44d0ddbffeaa3d29bc28974f8a/f|","This law promotes, regulates and supervises means of compensation for voluntary actions to conserve, recuperate and sustainably use natural ecosystems. While this legislation is primarily focussed on conservation and recuperation of the natural environment, it incorporates climate change language and in particular promotes carbon sequestration and responsible land use.<br />
<br />
The legislation defines what constitutes as a service to the natural ecosystem and stipulates how actions are to be evaluated, monitored and remunerated."
"377",1537,"Promoting Investment Activity for the Generation of Electricity from hydropower and other renewable sources, Legislative Decree No 1058","Peru","PER","Law","Energy","28/06/2008|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGdKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6d8a8f4a254cb3252a32539953533edd1c69c8bb/f|","This legislation incentivises investment in renewable energy by issuing special tax write-offs. Specifically, equipment, machinery and civil engineering works associated with the installation and operation of renewable energy generation are considered to depreciate value at an accelerated rate (not exceeding 20% annually)."
"378",1538,"Promotion of Investment for the Generation of Electricity from Renewable Energies, Legislative Decree No. 1002","Peru","PER","Law","Energy","01/05/2008|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGNKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e23bbb80385ea5b55e6d2f4493180e9bfd7f724b/f|","This legislation declares the production of electricity from renewable sources of energy a national priority. It designates the Ministry of Energy and Mines as the implementing authority, which will establish goals specifying a percentage of electricity to be generated by renewable energy sources (excluding hydroelectric and thermal energy), in maximum increments of 5%.<br />
<br />
Renewable energy sources will have priority distribution on the energy grid and are defined as: biomass, wind, solar, geothermal, tidal, and hydropower when potential yield does not surpass 20 MW.<br />
<br />
The Decree sets out a number of ways in which the government will promote technological investigation and capacity, including the development of a National Plan for the Promotion of Renewal Energies and through co-ordination between regional governments, universities and technical schools, and the National Board of Science, Technology and Technological Innovation.<br />
<br />
Lastly, the Legislative Decree modifies existing laws and decrees that regulate energy use in order to further prioritise the consumption of renewable energy."
"379",1541,"Law to Promote a Market of Biofuels Fuels, Law No. 28054 and corresponding regulations specified in Federal Decree No. 013-2005-EM","Peru","PER","Law","Agriculture;Buildings;Industry;LULUCF","15/07/2003|Law passed;31/03/2005|Federal Decree issued","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaE1KIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--74b0ea430489912faac50b48b1cce2ad450ce417/f|;Full text - part 2|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFFKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8417347a1dc2389c552a5ae8326a7f4eb943c752/f|","The Law's primary objective is to incentivise the diversification of the fuel industry by promoting investment in the production of biofuels, defined as any chemical fuel type originating in agricultural products to a standard defined by the national government.<br />
<br />
The policies defined in the legislation, to be implemented by the executive branch, are:<br />
- to strengthen the scientific research system necessary to developing biofuels<br />
- to educate workers about innovative fuel technologies<br />
- to incentivise the application of biofuel technologies<br />
- to incentivise private capital investment in biofuel production<br />
- to incentivise the commercialisation of biofuels<br />
- to promote the production of biofuels in rainforest regions within the framework of sustainable development<br />
<br />
The Law outlines co-ordination with anti-drug programmes, so that national and interna-tional funds designated to The War on Drugs are used to incentivise farmers to cultivate crops designated for biofuels rather than production of coca plants.<br />
<br />
The legislation calls for the creation of a technical commission, which will create quality standards related to the production of various biofuels.<br />
<br />
The executive authority issued a decree to regulate the Law nearly two years after its promulgation. The Decree offers further legal definitions of terminology (such as biodiesel, denaturised chemical compounds etc.) as well as specifying the chemical make up of commercialised biodiesel (95% gasoline, 5% biodiesel) and ethanol fuel (92.2% gasoline, 7.8% ethanol). Additionally, the Decree identifies different funding streams to accomplish the legislative objectives established in Law No. 28054, including through the National Clean Development Mechanism, government-backed credits and funds designated for The War on Drugs."
"380",1542,"Organic Law of Regional Governments, Law No. 27867","Peru","PER","Law","Economy-wide","18/11/2002|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaElKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0075f43195180f1157c5a7ebb8231042f0138771/f|","This broad legislation is meant to decentralise governance in the country and is a pillar of the juridical-legal framework of contemporary Peru. As such, most of the legislation is unrelated to climate change or the natural environment. However, it states explicitly that regional governments must formulate, co-ordinate, manage and supervise regional strategies to address climate change within the national framework (the National Strategy on Climate Change and additional legislation, executive decrees and ministerial resolutions)."
